#Core: ram_phy - Instance: u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 1200mV 85C Model)",4.649,1.555
"DQS vs CK (Slow 1200mV 85C Model)",1.595,1.631
"Mimic (Slow 1200mV 85C Model)",0.547,
"Phy (Slow 1200mV 85C Model)",0.547,0.408
"Phy Reset (Slow 1200mV 85C Model)",2.618,1.107
"Read Capture (Slow 1200mV 85C Model)",0.639,0.654
"Write (Slow 1200mV 85C Model)",1.069,0.727
 
"Address Command (Slow 1200mV 0C Model)",4.811,1.501
"DQS vs CK (Slow 1200mV 0C Model)",1.632,1.654
"Mimic (Slow 1200mV 0C Model)",0.518,
"Phy (Slow 1200mV 0C Model)",0.518,0.375
"Phy Reset (Slow 1200mV 0C Model)",3.045,1.010
"Read Capture (Slow 1200mV 0C Model)",0.596,0.611
"Write (Slow 1200mV 0C Model)",1.083,0.752
 
"Address Command (Fast 1200mV 0C Model)",5.200,1.375
"DQS vs CK (Fast 1200mV 0C Model)",1.774,1.737
"Mimic (Fast 1200mV 0C Model)",1.521,
"Phy (Fast 1200mV 0C Model)",1.521,0.123
"Phy Reset (Fast 1200mV 0C Model)",4.854,0.452
"Read Capture (Fast 1200mV 0C Model)",0.818,0.833
"Write (Fast 1200mV 0C Model)",1.154,0.817
