#Core: ram_phy - Instance: u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 1200mV 85C Model)",4.650,1.555
"DQS vs CK (Slow 1200mV 85C Model)",1.595,1.630
"Mimic (Slow 1200mV 85C Model)",0.545,
"Phy (Slow 1200mV 85C Model)",0.545,0.324
"Phy Reset (Slow 1200mV 85C Model)",2.880,1.118
"Read Capture (Slow 1200mV 85C Model)",0.636,0.651
"Write (Slow 1200mV 85C Model)",1.070,0.727
 
"Address Command (Slow 1200mV 0C Model)",4.813,1.500
"DQS vs CK (Slow 1200mV 0C Model)",1.633,1.655
"Mimic (Slow 1200mV 0C Model)",0.516,
"Phy (Slow 1200mV 0C Model)",0.516,0.312
"Phy Reset (Slow 1200mV 0C Model)",3.290,1.022
"Read Capture (Slow 1200mV 0C Model)",0.594,0.609
"Write (Slow 1200mV 0C Model)",1.084,0.751
 
"Address Command (Fast 1200mV 0C Model)",5.201,1.376
"DQS vs CK (Fast 1200mV 0C Model)",1.775,1.738
"Mimic (Fast 1200mV 0C Model)",1.519,
"Phy (Fast 1200mV 0C Model)",1.519,0.087
"Phy Reset (Fast 1200mV 0C Model)",4.863,0.462
"Read Capture (Fast 1200mV 0C Model)",0.820,0.835
"Write (Fast 1200mV 0C Model)",1.154,0.818
