#Core: ram_phy - Instance: u_Medipix_sopc|the_ram|ram_controller_phy_inst|ram_phy_inst
#Path, Setup Margin, Hold Margin
"Address Command (Slow 1200mV 85C Model)",4.650,1.555
"DQS vs CK (Slow 1200mV 85C Model)",1.595,1.630
"Mimic (Slow 1200mV 85C Model)",0.547,
"Phy (Slow 1200mV 85C Model)",0.547,0.376
"Phy Reset (Slow 1200mV 85C Model)",2.901,1.118
"Read Capture (Slow 1200mV 85C Model)",0.642,0.657
"Write (Slow 1200mV 85C Model)",1.070,0.727
 
"Address Command (Slow 1200mV 0C Model)",4.813,1.500
"DQS vs CK (Slow 1200mV 0C Model)",1.633,1.655
"Mimic (Slow 1200mV 0C Model)",0.518,
"Phy (Slow 1200mV 0C Model)",0.518,0.361
"Phy Reset (Slow 1200mV 0C Model)",3.297,1.022
"Read Capture (Slow 1200mV 0C Model)",0.600,0.615
"Write (Slow 1200mV 0C Model)",1.084,0.752
 
"Address Command (Fast 1200mV 0C Model)",5.200,1.376
"DQS vs CK (Fast 1200mV 0C Model)",1.775,1.738
"Mimic (Fast 1200mV 0C Model)",1.521,
"Phy (Fast 1200mV 0C Model)",1.521,0.113
"Phy Reset (Fast 1200mV 0C Model)",4.859,0.463
"Read Capture (Fast 1200mV 0C Model)",0.819,0.834
"Write (Fast 1200mV 0C Model)",1.154,0.817
